geoid,NAME,state,county,tract,households_total,median_income,hh_broadband_any,hh_no_internet,pct_broadband_any,pct_no_internet,pct_households_with_computer,pct_households_with_broadband_DP
36005006500,Census Tract 65; Bronx County; New York,36,5,6500,2245,22740.0,1716,423,76.43652561247217,18.84187082405345,0.1,2245
36005006700,Census Tract 67; Bronx County; New York,36,5,6700,2640,30191.0,1887,753,71.47727272727272,28.522727272727273,1.1,2640
36005006800,Census Tract 68; Bronx County; New York,36,5,6800,893,32550.0,846,25,94.73684210526315,2.799552071668533,11.0,893
36005006900,Census Tract 69; Bronx County; New York,36,5,6900,2705,26608.0,2323,217,85.87800369685768,8.022181146025877,0.7,2705
36005007000,Census Tract 70; Bronx County; New York,36,5,7000,1447,40417.0,1267,149,87.56046993780235,10.297166551485832,5.1,1447
36005007100,Census Tract 71; Bronx County; New York,36,5,7100,1530,23148.0,1215,167,79.41176470588235,10.915032679738562,1.8,1530
36005007200,Census Tract 72; Bronx County; New York,36,5,7200,1625,58244.0,1475,120,90.76923076923077,7.384615384615385,1.0,1625
36005007300,Census Tract 73; Bronx County; New York,36,5,7300,1602,29978.0,1223,328,76.34207240948814,20.474406991260924,5.3,1602
36005007400,Census Tract 74; Bronx County; New York,36,5,7400,1429,69363.0,1237,115,86.56403079076277,8.047585724282715,5.2,1429
36005007500,Census Tract 75; Bronx County; New York,36,5,7500,2430,34259.0,2206,181,90.78189300411522,7.448559670781893,0.8,2430
36005007600,Census Tract 76; Bronx County; New York,36,5,7600,1822,53320.0,1469,157,80.62568605927552,8.616904500548847,3.4,1822
36005007700,Census Tract 77; Bronx County; New York,36,5,7700,601,50733.0,525,76,87.35440931780366,12.645590682196339,2.0,601
36005007800,Census Tract 78; Bronx County; New York,36,5,7800,1932,47216.0,1691,217,87.52587991718427,11.231884057971014,5.4,1932
36005007900,Census Tract 79; Bronx County; New York,36,5,7900,2225,43081.0,2076,76,93.30337078651687,3.415730337078652,0.2,2225
36005008300,Census Tract 83; Bronx County; New York,36,5,8300,2213,48634.0,1846,338,83.41617713511071,15.27338454586534,3.7,2213
36005008400,Census Tract 84; Bronx County; New York,36,5,8400,1023,63631.0,968,55,94.6236559139785,5.376344086021505,5.9,1023
36005008500,Census Tract 85; Bronx County; New York,36,5,8500,2189,41535.0,1798,193,82.13796253997259,8.816811329374143,5.7,2189
36005008600,Census Tract 86; Bronx County; New York,36,5,8600,1550,22671.0,1060,403,68.38709677419355,26.0,1.8,1550
36005008700,Census Tract 87; Bronx County; New York,36,5,8700,2091,40188.0,1671,220,79.9139167862267,10.52128168340507,3.1,2091
36005008900,Census Tract 89; Bronx County; New York,36,5,8900,1346,35914.0,841,330,62.481426448737,24.51708766716196,0.8,1346
36005009000,Census Tract 90; Bronx County; New York,36,5,9000,1281,36806.0,1052,97,82.12334113973458,7.572209211553474,6.4,1281
36005009200,Census Tract 92; Bronx County; New York,36,5,9200,1872,58717.0,1791,66,95.67307692307693,3.5256410256410255,2.3,1872
36005009301,Census Tract 93.01; Bronx County; New York,36,5,9301,1912,50962.0,1651,233,86.34937238493724,12.186192468619247,2.2,1912
36005009302,Census Tract 93.02; Bronx County; New York,36,5,9302,0,,0,0,,,0.0,0
36005009600,Census Tract 96; Bronx County; New York,36,5,9600,818,47212.0,578,121,70.6601466992665,14.792176039119804,2.7,818
36005009800,Census Tract 98; Bronx County; New York,36,5,9800,1669,97896.0,1468,111,87.95686039544638,6.65068903535051,11.7,1669
36005011000,Census Tract 110; Bronx County; New York,36,5,11000,0,,0,0,,,-666666666.0,0
36005011502,Census Tract 115.02; Bronx County; New York,36,5,11502,1513,30922.0,1232,253,81.42762723066754,16.721744877726373,6.1,1513
36005011701,Census Tract 117.01; Bronx County; New York,36,5,11701,474,36857.0,411,63,86.70886075949366,13.291139240506327,0.7,474
